RegionName,zori_current,zori_10yr_growth,zori_std,zhvi_current,zhvi_10yr_growth,zhvi_std,rental_yield,rental_yield_norm,zori_growth_norm,volatility_norm,zhvi_norm,volatility_score,zhvi_score,investment_score
"Baltimore, MD",1855.850225027439,0.4207285674429183,179.45468362745783,392574.6306563225,1.7655020267447812,62871.13513414762,0.056728583462199327,0.26415456669600695,0.29079040935495526,0.19245631849575048,0.18995075463931738,0.8075436815042495,0.8100492453606827,0.43541261032180756
"Bangor, ME",1556.0717592592591,0.6269150705825198,197.73939713959695,263013.03606376675,2.2965317008359167,43396.22511015019,0.07099595286441973,0.3784580038819534,0.41666152519187694,0.21208604954293214,0.10922053944418326,0.7879139504570678,0.8907794605558167,0.5230423952573398
"Baraboo, WI",997.0,0.10150561307863469,52.25427970037081,321454.7099750546,0.8671034020120111,55206.90257453113,0.037218306743517386,0.1078474279008742,0.09591368922654792,0.05589909453247094,0.14563572039390282,0.9441009054675291,0.8543642796060972,0.3461696869824296
"Barnstable Town, MA",2780.753968253968,0.6442760493928288,378.9545850311034,737635.3146154034,2.8226969320898263,126626.63324751901,0.04523786613503713,0.17209635686074853,0.42725991908090466,0.4066313672813343,0.40495909379260325,0.5933686327186657,0.5950409062073967,0.37519433563304366
"Bartlesville, OK",1218.3690476190477,0.11883308916792333,47.65390824197474,172450.41625527147,1.5693740752079777,26470.376067415717,0.08478047713022933,0.4888931134761517,0.10649163063777425,0.050960321256887854,0.052790701506737744,0.9490396787431121,0.9472092984932623,0.5120336001797416
"Baton Rouge, LA",1374.8262861114051,0.3157967326945684,104.47539708676453,237093.83319940147,0.8021419829134498,27105.163858151103,0.06958390781704443,0.36714536468223724,0.22673244762868416,0.11196158020377558,0.09307020699800657,0.8880384197962244,0.9069297930019934,0.48317854342094435
"Battle Creek, MI",1123.2701298701295,0.1385975855879085,40.96378532503449,177425.3935023021,1.1885061796421486,29175.0925706888,0.07597132119798095,0.4183183092935211,0.11855730506581375,0.04377807509016846,0.05589062463601632,0.9562219249098315,0.9441093753639836,0.4885498377555173
"Bay City, MI",1370.4166666666667,0.039868330480862114,53.19283419226172,167363.27664709344,0.96506445337388,22231.52245959028,0.09825930950596978,0.596879163767986,0.05828584540747696,0.056906688785271865,0.04962088967640774,0.9430933112147282,0.9503791103235922,0.5398939924047423
"Bay City, TX",710.7222222222222,0.029231710824434196,26.025886240158837,205272.24528452917,0.6105205514307191,28401.68452056882,0.04154807511772976,0.1425354908113684,0.051792485442101174,0.02774134904294994,0.07324208086003044,0.9722586509570501,0.9267579191399695,0.3596794640625847
"Beaumont, TX",1266.3151522884016,0.5616527156636537,134.42343675261912,166902.00604463043,0.713773767802306,23250.522389130627,0.09104613052642034,0.5390905744943667,0.3768206757148331,0.14411258785509964,0.049333470591167744,0.8558874121449004,0.9506665294088322,0.5949265678820599
"Beaver Dam, WI",1053.211111111111,0.06793021710124862,23.916797338250532,291903.7850026186,0.9180986968161331,46033.6098386841,0.043296914883169314,0.15654637050767006,0.07541684538862373,0.025477116252451477,0.12722245109336355,0.9745228837475485,0.8727775489066365,0.3674259334598285
"Beckley, WV",1136.0,0.16501066958244273,51.15145887498082,135561.7179669216,1.5628779013802934,19354.30007855408,0.10055936295618755,0.6153061076326602,0.1346817569793096,0.05471515056849992,0.029805243814184992,0.9452848494315,0.970194756185815,0.5726034156517384
"Bellingham, WA",2130.2094306362437,1.0162887296243193,342.74160315720945,613584.8355516247,3.1688459804296367,132421.0659672341,0.04166092720439177,0.14343960852469168,0.65436329613618,0.36775457032582975,0.3276628710857723,0.6322454296741702,0.6723371289142277,0.4473676310769875
"Bemidji, MN",1495.5555555555554,0.031849613604248074,23.08130536173331,259068.011707586,0.3664301337815934,37138.53320933983,0.0692739584033375,0.36466219610773065,0.053390642154738405,0.024580165759887126,0.10676238302656522,0.9754198342401129,0.8932376169734347,0.4462897996348798
"Bend, OR",2203.48458468062,0.9086250198354551,365.335691733234,674246.2324345222,3.4645050166702873,161795.19989192687,0.03921685245565725,0.12385883391628655,0.5886376008073668,0.3920106726546474,0.36546116802549783,0.6079893273453526,0.6345388319745022,0.4111865624752454
"Big Rapids, MI",1057.9166666666667,0.08374448127420976,56.80222421321139,208956.33093863647,0.8526544212305431,39875.279046008225,0.06075432097689397,0.296406877697809,0.08507101308282404,0.060781584353560944,0.0755376455957741,0.939218415646439,0.9244623544042259,0.4243739735736812
"Big Spring, TX",1149.5833333333333,-0.055608336800559696,39.7131129547147,142379.82004842168,0.45467747277668136,22654.58640384023,0.09688873040651748,0.5858987301935784,0.0,0.042435403670065555,0.0340536235133765,0.9575645963299344,0.9659463764866235,0.5224670489920806
"Billings, MT",1371.571373071373,0.622395142197425,188.86374833960267,397867.9921319702,1.0908520952641534,67904.73315258401,0.04136763148164274,0.14108986147062486,0.4139022348374076,0.20255751092527974,0.19324906392903046,0.7974424890747203,0.8067509360709695,0.42077020646151325
"Binghamton, NY",1178.1520562770563,0.8807693037721975,171.81783232250334,177024.18118292993,1.7410666691661,25930.09376473784,0.07986380493812421,0.44950305387716816,0.5716324622074618,0.18425770291098614,0.05564062804571722,0.8157422970890138,0.9443593719542828,0.6088753568263369
"Birmingham, AL",1420.63696637231,0.5537457314749629,163.94659126674074,250290.75799032557,1.255719411143247,40348.76352859851,0.06811135869877649,0.3553479953916542,0.37199368215521317,0.1758074559421411,0.10129325011225453,0.8241925440578589,0.8987067498877455,0.508446486603572
"Bismarck, ND",1311.5982142857144,0.33959213760064516,103.62799867575193,337537.89816666854,1.0487919665342735,51759.91629640206,0.04662936712267173,0.1832444067394824,0.2412588793868838,0.11105184744329546,0.15565720282329115,0.8889481525567046,0.8443427971767088,0.4078993367408699
